aajnp,japan
ckkno,knock
beosx,boxes
beosy,obeys
iklty,kilty
beost,besot
hlrsu,hurls
beosw,bowse
ipsxy,pyxis
korst,stork
ahrtw,wrath
horsu,hours
horst,"horst,short"
aenns,senna
aennt,anent
aksty,kyats
aabet,abate
aennx,annex
acfil,calif
accit,cacti
horsy,horsy
accir,circa
aabes,abase
aelns,"elans,lanes,leans"
ahllo,hallo
eklst,kelts
adisy,daisy
aegrt,"grate,great,greta"
aegru,"argue,auger"
aegrv,grave
aelnt,"laten,leant"
bgoru,bourg
aegry,gayer
aegrz,"gazer,graze"
dmooy,moody
adisv,"davis,divas,vadis"
fnost,fonts
adist,"adits,staid"
blrsu,"blurs,burls"
depty,typed
prsuu,usurp
einos,noise
blntu,blunt
prsuy,"pursy,syrup"
aejnt,janet
efint,feint
efins,fines
ahlls,"halls,shall"
aejns,"janes,jeans"
deikp,piked
deikr,"diker,irked"
deiks,"dikes,skied"
deikt,kited
gikns,"ginks,kings"
cmoos,cosmo
brrsu,burrs
bchsu,chubs
aimpu,apium
hnssu,shuns
aimpr,prima
aimps,pimas
ellps,spell
innny,ninny
aalns,"alans,nasal"
elotx,extol
gimny,mingy
elotw,"owlet,towel"
adrru,durra
ffgsu,guffs
ehitt,tithe
deikn,inked
jttuy,jutty
girst,"girts,grist,grits"
ensst,nests
aadmm,madam
ckory,"corky,rocky"
ddeeg,edged
ekrst,treks
ahors,horas
dloyy,doyly
abcno,"bacon,banco"
elosu,"louse,ousel,seoul"
ddeen,ended
aamsy,mayas
aafim,mafia
ddees,deeds
ddeer,reded
eessx,sexes
hkssu,husks
ddeew,dewed
dirst,"dirts,distr"
ddeey,deedy
mnoor,moron
aamss,"amass,assam,massa"
giorv,"vigor,virgo"
aadmr,drama
aamst,atmas
bcrsu,"curbs,scrub"
cimnu,cumin
insuz,zunis
aceim,amice
aceil,alice
cimny,mincy
belss,bless
aceiv,cavie
aahmo,omaha
belsu,"blues,lubes"
belst,"belts,blest"
ennot,"tenon,tonne"
eenps,"peens,penes,pense"
aalvv,valva
dehno,honed
dehor,horde
agnss,snags
rstty,tryst
denoz,"dozen,zendo,zoned"
denoy,doyen
ccoru,occur
denow,"endow,owned"
denov,devon
denot,"noted,toned"
denos,"nodes,nosed,sonde"
denor,drone
pssuy,pussy
denoo,odeon
eeepv,peeve
aflls,falls
morwy,wormy
eeeps,epees
fhort,"forth,froth"
delop,"loped,poled"
agppy,gappy
delor,older
cmsuu,mucus
delow,"dowel,lowed"
fhors,frosh
aalpz,plaza
dkssu,dusks
cmmoy,commy
elmst,"melts,smelt"
eehmt,theme
eekov,evoke
hikrs,shirk
bghru,burgh
gills,gills
gillr,grill
bgrsu,"burgs,grubs"
ahlpy,"haply,phyla"
chist,chits
chisu,cuish
ikmrs,"mirks,smirk"
acess,cases
efltu,flute
gilly,gilly
aintt,"taint,titan"
acesv,caves
acesu,"cause,sauce"
eemmt,emmet
jorru,juror
acgor,cargo
cosst,"costs,scots"
aemty,"matey,meaty"
efnry,ferny
aemtt,matte
abdir,"braid,rabid"
alpst,"plats,splat"
aksst,tasks
iorst,"riots,tiros,torsi,trios,trois"
fikns,finks
dekoy,yoked
ehirs,"heirs,hires,shier,shire"
ehirr,hirer
ilnpu,lupin
iprtw,twirp
dgrsu,drugs
alpsy,"palsy,plays,splay"
cemmu,mecum
films,films
anosz,azons
anosx,"axons,saxon"
filmy,filmy
afhrw,wharf
illrt,trill
bddeo,boded
acdir,acrid
acdis,"acids,cadis"
acdit,dicta
eelsv,elves
bddei,bided
acdiy,acidy
ilntu,"unlit,until"
eggpy,peggy
afors,"afros,faros,sofar"
bhrsu,"brush,shrub"
aabil,labia
accem,mecca
accel,cecal
afory,foray
achsw,"chaws,schwa"
achst,"chats,tachs"
emrry,merry
beemr,ember
cehtv,vetch
aimox,axiom
eimst,"emits,items,mites,smite,times"
cerru,"curer,recur"
aeswx,waxes
adlsy,sadly
eimss,"seism,semis"
deinv,vined
akssu,skuas
aceks,cakes
bcirs,cribs
eimsx,mixes
agnps,pangs
eilst,"islet,istle,lites,stile,tiles"
eilsv,"elvis,evils,levis,lives,veils"
eilsw,"lewis,wiles"
clrsu,curls
eilss,isles
aeknw,waken
mopst,stomp
aatzz,tazza
dgpuy,pudgy
eeers,resee
biors,brios
eglnu,lunge
bbdee,ebbed
efhrs,fresh
biort,orbit
acjno,cajon
abbgy,gabby
adekr,"drake,raked"
adeks,asked
enosz,zones
delsu,"duels,dulse,slued"
deotw,towed
clluy,cully
delsv,velds
delss,sleds
deotv,voted
deehw,hewed
delsy,lysed
cffhu,chuff
deott,toted
illns,nills
aainp,apian
aelrw,waler
aablt,tabla
cipsy,spicy
bdelo,lobed
agttu,gutta
enrvy,nervy
ckrsu,rucks
amsty,mayst
dhosy,yodhs
losuy,lousy
aenps,"aspen,napes,neaps,panes"
ikmry,mirky
aabgm,gamba
acckl,clack
amstt,matts
beimo,biome
aimnr,inarm
closw,"cowls,scowl"
clost,"clots,colts"
acckr,crack
aimnv,mavin
beimu,imbue
aelrv,"laver,ravel,velar"
beimx,bemix
aegps,"gapes,pages"
ddepu,duped
himty,thymi
closy,cloys
ehors,"heros,hoers,horse,shoer,shore"
cimrs,scrim
ehorw,whore
blruy,burly
aellr,aller
agpry,grapy
bnorx,bronx
bnory,byron
aelly,alley
efill,fille
efiln,elfin
efils,"files,flies"
efilr,"filer,flier,lifer,rifle"
efilt,"filet,flite"
acost,"ascot,coast,coats,tacos"
aelln,allen
ackwy,wacky
acoss,assoc
acknr,crank
aeeir,aerie
jlowy,jowly
aoott,tatoo
ffist,"stiff,tiffs"
diimo,idiom
aefmr,frame
aefms,fames
cmssu,scums
alnuw,unlaw
inrst,instr
elsux,luxes
elsuy,yules
loott,lotto
ffnsu,snuff
afknr,frank
hilrw,whirl
cinsz,zincs
cinsu,incus
dmosu,modus
diimt,timid
ikkny,kinky
cfilo,folic
afinr,infra
bdeim,"bedim,imbed"
aaijv,ajiva
bdeij,jibed
abilo,aboil
afint,faint
ditty,ditty
arsty,"satyr,stray,trays"
glnos,longs
cjkos,jocks
abily,"bialy,libya"
lmoot,molto
cjkoo,jocko
eipxy,pyxie
lmoos,looms
aaort,aorta
adesw,"sawed,wades"
abils,"bails,basil"
cfilt,clift
bdeis,bides
bdeir,"bider,bride,rebid"
bdeip,biped
bchtu,butch
chhoo,hooch
fgiln,fling
deeno,donee
cekrw,wreck
abelm,"amble,blame,melba"
abell,label
rsttu,"strut,trust"
degnu,nudge
ddinu,undid
elost,stole
abelt,"bleat,table"
elosv,"loves,solve,voles"
ippyz,zippy
ggloy,loggy
abels,"ables,bales,blase,sable"
abelr,"abler,baler,blare,blear"
deens,"dense,needs"
egors,"goers,gores,gorse,ogres"
fuyzz,fuzzy
egorv,grove
inppu,pinup
egort,ergot
dotty,dotty
eorty,toyer
abirr,briar
abcht,batch
bilss,bliss
acdss,scads
ciilv,civil
eegsu,segue
eegst,geste
eortu,"outer,outre,route,utero"
eortt,"otter,torte,toter"
bilsy,sibyl
acino,acoin
acinp,panic
klnru,knurl
acinr,cairn
acins,"cains,incas"
acint,"actin,antic"
aessy,essay
afrsu,fraus
afrst,"farts,frats,rafts"
afrsz,zarfs
afrsy,frays
alpty,"aptly,patly,platy,typal"
llmos,molls
fostu,tofus
fostt,tofts
bdeew,bedew
iistz,zitis
deery,"redye,reedy"
cchoo,cooch
deerw,rewed
deerv,verde
corsu,scour
deert,"deter,treed"
cdehi,chide
deerr,erred
ceiju,juice
acfst,facts
aaerw,aware
eeruv,revue
aaeru,aurae
aaers,areas
eejss,jesse
cchou,couch
ainpt,"inapt,paint,pinta"
adiil,iliad
adiin,india
aaglv,vagal
irsuv,virus
eeept,tepee
alrtw,trawl
agmtu,gamut
iistv,visit
alssv,slavs
cdipu,cupid
agilo,logia
chrsu,crush
celru,"cruel,lucre,ulcer"
jlloy,jolly
abins,basin
ilopt,"pilot,polit"
amnsy,mynas
bkrsu,brusk
egilu,guile
efnot,often
ilopx,oxlip
amnsu,manus
anprw,prawn
dekrs,dreks
emstu,mutes
eiprw,wiper
egiln,ingle
eorsu,"roues,rouse"
egilm,gimel
cells,cells
ccoos,cocos
ceinw,wince
entty,"netty,tenty"
ceinr,nicer
ceins,"cines,since"
ghiss,sighs
agort,"argot,gator,groat"
egnpu,unpeg
cgino,"coign,incog"
eenuv,venue
kmssu,musks
aclmp,clamp
cipss,spics
opsst,"posts,spots,stops"
aclms,"calms,clams"
ejkor,joker
ahmnu,human
aehlt,lathe
almss,slams
anory,rayon
hjnos,johns
bceel,celeb
glluy,gully
aghst,"ghast,ghats"
filnt,flint
nsttu,stunt
anors,"arson,roans,sonar"
anorw,rowan
ffhsu,huffs
acdhs,chads
acdhr,chard
cdduy,cuddy
illst,"lilts,still,tills"
alsuu,"luaus,usual"
eelrv,"elver,lever,revel"
eelru,euler
finny,finny
ginyz,zingy
eelry,leery
bceer,rebec
finns,finns
illsy,"silly,slily"
knoos,nooks
achry,chary
ehlsw,welsh
beelz,bezel
aklly,alkyl
beelv,bevel
achrs,"chars,crash"
ajntu,"jaunt,junta"
hiors,roshi
achrt,"chart,ratch"
beelp,"bleep,plebe"
ejnny,jenny
eimpr,"imper,prime"
beell,belle
dstuy,"dusty,study"
iklss,silks
aabhs,abash
errsu,"ruers,surer"
agily,gaily
agnst,"angst,gnats,tangs"
agnsu,angus
impux,mixup
agnsw,"gnaws,swang"
afist,"faits,fiats"
deeux,exude
innpu,unpin
cchno,conch
ehmty,thyme
fgist,gifts
imrst,trims
iimmx,immix
amors,roams
ahmmy,hammy
eiorv,vireo
cdeko,coked
eertv,evert
cdekr,dreck
acfrt,craft
acfrs,scarf
aaddu,audad
inosy,"noisy,yonis"
insst,snits
iimmn,minim
acfry,farcy
aehms,"ahems,shame"
eejrs,jeers
dmnoo,mondo
dmnou,mound
eilmy,"emily,limey"
addry,dryad
cdiss,discs
ggino,going
accho,coach
klsuy,sulky
altwz,waltz
deejw,jewed
lostu,"lotus,louts"
aglyy,gayly
aglyz,glazy
beill,"belli,libel"
beils,biles
beilr,"liber,libre"
aenot,"atone,oaten"
eggsy,yeggs
aenos,aeons
biqsu,squib
accht,catch
aefls,"alefs,false,fleas,leafs"
aimow,miaow
abgrs,"brags,garbs,grabs"
aimor,maori
aaglr,"argal,graal"
eiinx,nixie
aelos,aloes
enooz,ozone
aqsuw,squaw
cimsu,music
bgosu,bogus
bnosu,"bonus,bosun"
fnorw,frown
blrtu,blurt
aiimm,miami
bnoss,snobs
elsty,style
elmsu,mules
prstu,"spurt,turps"
efiot,foeti
llrtu,trull
acopr,copra
acops,capos
oowyz,woozy
eikss,skies
adddy,daddy
lopps,plops
eehlt,"ethel,lethe"
eehlw,wheel
eehlv,helve
eehls,heels
afirt,afrit
addwy,waddy
aehmn,heman
ellsy,yells
eehln,helen
dssuy,sudsy
adnrs,"darns,rands"
eprst,"prest,strep"
ellss,sells
eikpr,piker
aartt,"attar,tatar"
ellsw,"swell,wells"
mssuy,mussy
addde,added
innox,nixon
asswy,sways
ejkry,jerky
kloos,looks
aegst,"gates,stage"
anrsw,warns
aeemr,ameer
bffuy,buffy
mmmsu,mumms
aegsz,gazes
denrs,"nerds,rends"
acnty,canty
denru,"nuder,under"
afgls,flags
iklny,linky
bchuu,buchu
abgor,garbo
aimrs,amirs
afglu,fugal
aprtw,wrapt
ceksu,cukes
aprty,party
dhirt,third
aclxy,calyx
elorw,"lower,rowel"
cepry,crepy
elors,"lores,loser,roles,sorel"
abeov,above
loowy,wooly
chkoy,choky
klssu,sulks
achmo,"macho,mocha"
afgrs,frags
iqstu,quits
abcor,"carbo,carob,cobra"
bgruy,rugby
ckops,pocks
egoss,"gesso,segos"
biltu,built
biltz,blitz
iilmt,limit
ckopy,pocky
aehht,heath
klnsu,"lunks,slunk"
aelnp,"nepal,panel,penal,plane,plena"
aciot,coati
imnny,minny
acioz,azoic
aafkk,kafka
ddeil,idled
ddeio,diode
ddein,dined
adirs,raids
beegl,glebe
jjsuu,jujus
aloss,lasso
ehmry,rhyme
bikls,bilks
aahks,kasha
gstuy,"gusty,gutsy"
deevx,vexed
ceekr,creek
ddeit,tided
ddeiv,dived
acgou,guaco
ddeis,sided
ddeir,"dried,redid"
fhilt,filth
hnory,horny
notwy,towny
abuzz,abuzz
aamos,samoa
aamor,aroma
eeerv,reeve
aflns,flans
hnors,"horns,shorn"
hnort,"north,thorn"
hnoru,huron
adirx,radix
epsxy,pyxes
afprs,fraps
deiix,dixie
abcot,cabot
copsu,coups
agprs,grasp
emoor,"moore,romeo"
deivw,wived
deiiv,ivied
efirt,refit
ahrty,rhyta
cikss,sicks
abiot,biota
eirsu,sieur
ilost,toils
ilosu,louis
ilosv,viols
acirv,vicar
deewy,weedy
aimmx,maxim
ceoyz,cozey
egimr,grime
amnru,unarm
esstv,vests
deegs,"edges,sedge"
cegor,greco
cnstu,cunts
ddgiy,giddy
ijmmy,jimmy
aklrs,larks
agosy,yogas
ciors,coirs
fikrs,frisk
ceios,cosie
acppy,cappy
cioru,curio
acllo,local
acppu,cuppa
eentw,tween
agost,"goats,togas"
eentt,tenet
egnst,gents
egnsu,"genus,negus"
ciprs,"crisp,scrip"
aclls,calls
ffost,toffs
cipry,"pricy,pyric"
aacrt,carat
dilry,drily
demsu,"mused,sedum"
cgior,"corgi,orgic"
aemnv,maven
aeflt,fetal
aeefz,feaze
aeflr,"feral,flare"
elstw,welts
bgily,"bigly,bilgy"
aacdh,dacha
aeefs,fease
aefly,leafy
ackor,croak
aakks,kakas
fiiil,filii
hilsy,shily
akoty,tokay
eelrs,"leers,reels"
eeinr,irene
hilst,hilts
cinru,"incur,runic"
aefll,fella
filrt,flirt
afgrt,graft
diilv,livid
eirsz,sizer
bdeno,boned
cfikl,flick
aeloz,azole
egmmy,gemmy
eirsw,"weirs,wires,wiser,wries"
aptty,patty
adhno,honda
knowy,wonky
hrruy,hurry
bdeny,bendy
ampsv,vamps
aaikk,kaiak
adhns,hands
beeps,beeps
bdens,bends
aforv,favor
adhny,"handy,haydn"
alnnu,annul
